triple_id,subject,relation,target,evidence,source_url,assignee
1,Bánh Bèo,cookingTechnique,Hấp,,,Member_1
2,Bánh Bèo,dishType,Món khai vị,,,Member_1
3,Bánh Bèo,flavorProfile,Mặn ngọt,,,Member_1
5,Bánh Bèo,hasIngredient,Bột Gạo,,,Member_1
6,Bánh Bèo,hasIngredient,Tôm,,,Member_1
8,Bánh Bèo,originRegion,Huế,,,Member_1
9,Bánh Bèo,servedWith,Nước Mắm,,,Member_1
10,Bánh Chưng,cookingTechnique,Luộc,,,Member_1
14,Bánh Chưng,hasIngredient,Gạo Nếp,,,Member_1
15,Bánh Chưng,hasIngredient,Thịt Lợn,,,Member_1
19,Bánh Cuốn,cookingTechnique,Hấp,,,Member_1
20,Bánh Cuốn,dishType,Món ăn sáng,,,Member_1
21,Bánh Cuốn,flavorProfile,Thanh đạm,,,Member_1
25,Bánh Cuốn,hasIngredient,Mộc Nhĩ,,,Member_1
26,Bánh Cuốn,hasIngredient,Thịt Lợn,,,Member_1
27,Bánh Cuốn,originRegion,Miền Bắc,,,Member_1
29,Bánh Cuốn,servedWith,Nước Mắm,,,Member_1
31,Bánh Mì,cookingTechnique,Nướng,,,Member_1
36,Bánh Mì,hasIngredient,Bột Mì,,,Member_1
57,Bánh Xèo,cookingTechnique,Chiên,,,Member_1
58,Bánh Xèo,cookingTechnique,Rán,,,Member_1
59,Bánh Xèo,dishType,Món ăn chơi,,,Member_1
60,Bánh Xèo,flavorProfile,Giòn béo,,,Member_1
62,Bánh Xèo,hasIngredient,Tôm,,,Member_1
63,Bánh Xèo,originRegion,Miền Nam,,,Member_1
64,Bánh Xèo,servedWith,Rau Diếp,,,Member_1
65,Bánh Xèo,servedWith,Rau sống,,,Member_1
80,Bún Bò Nam Bộ,cookingTechnique,Xào,,,Member_1
81,Bún Bò Nam Bộ,hasIngredient,Thăn Bò,,,Member_1
82,Bún Bò Nam Bộ,originRegion,Nam Bộ,,,Member_1
84,Bún Riêu Cua,hasIngredient,Mắm tôm,,,Member_1
85,Bún Riêu Cua,originRegion,Đồng bằng sông Hồng,,,Member_1
86,Bún Riêu Cua,servedWith,Rau sống,,,Member_1
89,Bún Thịt Nướng,cookingTechnique,Nướng,,,Member_1
90,Bún Thịt Nướng,hasIngredient,Thịt Nạc Dăm,,,Member_1
91,Bún Thịt Nướng,originRegion,Miền Nam,,,Member_1
92,Bún Thịt Nướng,servedWith,Nước Mắm Chua Ngọt,,,Member_1
96,Bắp Cải,ingredientCategory,Rau Lá,,,Member_1
97,Bột Chiên,hasAllergen,Gluten,,,Member_1
98,Bột Chiên Xù,hasAllergen,Gluten,,,Member_1
99,Bột Gạo,ingredientCategory,Ngũ Cốc,,,Member_1
100,Bột Mì,hasAllergen,Gluten,,,Member_1
108,Canh Chua,dishType,Món Nước,,,Member_1
109,Canh Chua,dishType,Món nước,,,Member_1
110,Canh Chua,flavorProfile,Chua,,,Member_1
111,Canh Chua,hasIngredient,Cá,,,Member_1
112,Canh Chua,originRegion,Nam Bộ,,,Member_1
114,Canh Chua,servedWith,Cơm Trắng,,,Member_1
130,Canh Khoai Lang,cookingTechnique,Luộc/Nấu canh,,,Member_1
131,Canh Khoai Lang,dishType,Món Canh,,,Member_1
