image_id,qtype,fail_stage,detail
image000001,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000006,,no_anchor_dish,"food_items=['Bún chả', 'Bún', 'Chả nướng', 'Rau sống', 'Lạc rang', 'Nước chấm']"
image000011,,no_anchor_dish,"food_items=['Bún chả', 'Bún tươi', 'Chả nướng', 'Rau sống', 'Nước chấm']"
image000014,,no_anchor_dish,"food_items=['Bún bò Huế', 'Rau sống', 'Chanh', 'Ớt', 'Hành tím', 'Tỏi', 'Chả', 'Xương bò hầm', 'Huyết', 'Thịt bò', 'Bún']"
image000026,,no_anchor_dish,"food_items=['Canh cua mồng tơi mướp', 'Đậu phụ sốt cà chua', 'Thịt rang cháy cạnh', 'Nem chua', 'Cà pháo muối', 'Nước mắm tỏi ớt', 'Tương ớt']"
image000029,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,flavor_profile,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,ingredient_category,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,ingredients,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,origin_locality,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,cooking_technique,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000034,flavor_profile,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,dietary_restrictions,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,food_pairings,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,dish_classification,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,ingredient_category,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,cooking_technique,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,allergen_restrictions,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,ingredients,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,origin_locality,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000046,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000055,,no_anchor_dish,"food_items=['Vịt quay', 'Bún tươi', 'Bánh đa nem', 'Rau sống', 'Dưa chuột', 'Cà rốt', 'Dứa', 'Nước chấm']"
image000058,allergen_restrictions,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,flavor_profile,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,cooking_technique,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,food_pairings,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,dish_classification,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,ingredient_category,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,ingredients,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,dietary_restrictions,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,origin_locality,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000079,flavor_profile,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,ingredient_category,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,cooking_technique,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,food_pairings,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,dish_classification,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,origin_locality,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,dietary_restrictions,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,ingredients,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,allergen_restrictions,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000080,cooking_technique,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,ingredients,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,origin_locality,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,flavor_profile,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,food_pairings,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,dietary_restrictions,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,ingredient_category,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,allergen_restrictions,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,dish_classification,retrieve_empty,anchor_dish=Xôi; top_k=8
image000102,,no_anchor_dish,"food_items=['Vịt quay', 'Bí đỏ xào tôm', 'Bắp cải luộc', 'Bò kho', 'Bưởi', 'Cà pháo']"
image000106,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000121,,no_anchor_dish,"food_items=['Bún chả', 'Bún', 'Rau sống', 'Tỏi', 'Ớt', 'Tương ớt', 'Nước mắm']"
image000128,ingredients,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,cooking_technique,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,flavor_profile,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,origin_locality,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,ingredient_category,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000139,,no_anchor_dish,"food_items=['Bún chả', 'Thịt nướng', 'Chả viên nướng', 'Nước chấm', 'Rau sống', 'Bún']"
image000150,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
